TC ID,Req ID,Coverage ID,Test Method,Priority,Preconditions,Test Data,Steps,Expected Result
TC-01,REQ-1,CI-01,Decision Table,High,用户已注册有效的邮箱和密码，且处于登录页面。,"email=registered@example.com, password=ValidPass123",打开登录页面 | 输入已注册邮箱 registered@example.com | 输入正确密码 ValidPass123 | 点击登录按钮,登录成功，跳转到系统主页面或仪表盘。
TC-02,REQ-1,CI-02,Decision Table,High,用户已注册有效的邮箱和密码，且处于登录页面。,"email=registered@example.com, password=WrongPass123",打开登录页面 | 输入已注册邮箱 registered@example.com | 输入错误密码 WrongPass123 | 点击登录按钮,登录失败，显示错误信息“邮箱或密码错误”。
TC-03,REQ-1,CI-03,Decision Table,High,用户处于登录页面，邮箱未注册。,"email=unregistered@test.com, password=AnyPass123",打开登录页面 | 输入未注册邮箱 unregistered@test.com | 输入任意密码 AnyPass123 | 点击登录按钮,登录失败，显示错误信息“邮箱或密码错误”。
TC-04,REQ-2,CI-04,Equivalence Partitioning,Medium,用户处于登录页面或注册页面，邮箱输入框可用。,email=user@example.com,打开登录页面 | 在邮箱输入框中输入 user@example.com | 触发邮箱格式验证（如失焦或点击提交）,系统未提示邮箱格式错误，邮箱格式验证通过。
TC-05,REQ-2,CI-05,Equivalence Partitioning,Medium,用户处于登录页面或注册页面，邮箱输入框可用。,email=userexample.com,打开登录页面 | 在邮箱输入框中输入 userexample.com | 触发邮箱格式验证（如失焦或点击提交）,系统显示错误信息“邮箱格式不正确”。
TC-06,REQ-2,CI-06,Equivalence Partitioning,Medium,用户处于登录页面或注册页面，邮箱输入框可用。,email=user@.com,打开登录页面 | 在邮箱输入框中输入 user@.com | 触发邮箱格式验证（如失焦或点击提交）,系统显示错误信息“邮箱格式不正确”。
TC-07,REQ-3,CI-07,Boundary Value Analysis,High,用户处于注册页面或修改密码页面，密码输入框可用。,password=Pass1234,打开注册页面 | 在密码输入框中输入 Pass1234（8个字符） | 提交表单,密码被接受，无长度相关错误提示。
TC-08,REQ-3,CI-08,Boundary Value Analysis,High,用户处于注册页面或修改密码页面，密码输入框可用。,password=Pass123,打开注册页面 | 在密码输入框中输入 Pass123（7个字符） | 提交表单,系统显示错误信息“密码长度不能少于8个字符”。
TC-09,REQ-3,CI-09,Equivalence Partitioning,High,用户处于注册页面或登录页面，密码输入框可用。,password=,打开登录页面 | 在密码输入框中保持为空 | 点击登录按钮,系统显示错误信息“密码不能为空”或“密码长度不能少于8个字符”。
TC-10,REQ-3,CI-10,Boundary Value Analysis,High,用户处于注册页面或修改密码页面，密码输入框可用。,password=Pass12345,打开注册页面 | 在密码输入框中输入 Pass12345（9个字符） | 提交表单,密码被接受，无长度相关错误提示。
TC-11,REQ-4,CI-11,State Transition Testing,High,存在一个已注册用户，初始登录失败计数为0。,"email=registered@example.com, password_wrong=WrongPass1; password_correct=CorrectPass",使用错误密码登录连续4次，每次验证失败 | 第5次使用正确密码登录,前4次登录均失败并提示错误；第5次登录成功，账户未被锁定。
TC-12,REQ-4,CI-12,State Transition Testing,High,存在一个已注册用户，初始登录失败计数为0。,"email=registered@example.com, password_wrong=WrongPass1",使用错误密码连续登录5次 | 第6次尝试使用正确密码或其他密码登录,前5次每次提示错误；第5次后账户锁定，第6次登录失败并提示“账户已被锁定”。
TC-13,REQ-4,CI-13,State Transition Testing,High,账户已因连续5次登录失败而被锁定。,"email=registered@example.com, password=CorrectPass",在锁定状态下，输入正确的邮箱和密码 | 点击登录按钮,登录失败，系统显示错误信息“账户已被锁定”。
TC-14,REQ-5,CI-14,Decision Table,High,用户处于登录页面，且已注册邮箱存在。,email=registered@example.com,点击“忘记密码”链接 | 输入已注册邮箱 registered@example.com | 点击发送重置邮件按钮,系统提示重置邮件已发送至该邮箱。
TC-15,REQ-5,CI-15,Decision Table,High,用户处于登录页面，邮箱未注册。,email=unregistered@test.com,点击“忘记密码”链接 | 输入未注册邮箱 unregistered@test.com | 点击发送重置邮件按钮,系统显示错误信息“该邮箱未注册”。
